Ta_C,Precip_mm,Sw_rad_mj_m2,Date,VPD_kpa
30.6,0,23.02,4/17/2022,3.588333333
31.8,0,22.94,4/18/2022,3.840833333
32.4,0,20.35,4/19/2022,4.002083333
31.4,0,20.2,4/20/2022,3.634166667
30.2,0,20.97,4/21/2022,3.439583333
28.9,0,23.76,4/22/2022,2.95125
29.5,0,23.21,4/23/2022,3.202916667
29.7,0,23.26,4/24/2022,3.309166667
29.6,0.1,19.77,4/25/2022,3.130416667
30.5,0,24.56,4/26/2022,3.535416667
31.8,0,24.49,4/27/2022,3.7875
33,0,24.1,4/28/2022,4.1175
33.2,0,23.95,4/29/2022,4.250416667
34.7,0,23.18,4/30/2022,4.671666667
33,0,24,5/1/2022,4.138333333
33.5,0,23.31,5/2/2022,3.889166667
33.4,0,23.12,5/3/2022,3.977083333
29,20.7,18.8,5/4/2022,2.33625
30.3,0,23.39,5/5/2022,2.90125
31.6,0,22.94,5/6/2022,3.525
31.3,0,23.93,5/7/2022,3.3525
32.8,0,24.26,5/8/2022,3.837083333
33.2,0,22.83,5/9/2022,3.725833333
33.1,0,21.96,5/10/2022,3.38125
33.6,0,23.47,5/11/2022,3.795
34.1,0,23.63,5/12/2022,4.081666667
34.6,0,24.04,5/13/2022,4.30375
35.1,0,24.71,5/14/2022,4.937916667
35.3,0,23.63,5/15/2022,5.100833333
34.3,0,21.62,5/16/2022,4.535
34.3,0,22.95,5/17/2022,4.099583333
33.6,0,23.44,5/18/2022,4.101666667
35,0,23.84,5/19/2022,4.637083333
34.5,0,23.83,5/20/2022,4.547916667
33.7,0,22.71,5/21/2022,4.345
33.6,0,23.28,5/22/2022,4.365833333
28.7,3.4,16.38,5/23/2022,2.278333333
26.3,0,23.21,5/24/2022,1.661666667
28.7,0,23.71,5/25/2022,2.344166667
31.7,0,23.72,5/26/2022,3.14125
33.7,0,23,5/27/2022,3.68
34.3,0,21.5,5/28/2022,3.582083333
34.2,0,21.12,5/29/2022,3.68875
33.2,0,21.91,5/30/2022,3.225833333
32.9,0,22.88,5/31/2022,3.619583333
33.3,0,22.51,6/1/2022,4.046666667
34,0,24.09,6/2/2022,4.51
35.4,0,23.95,6/3/2022,4.960416667
35.6,0,24.75,6/4/2022,5.184166667
36,0,22.7,6/5/2022,5.3725
36.3,0,21.98,6/6/2022,5.4325
37.4,0,20,6/7/2022,5.664583333
37,0,21.78,6/8/2022,5.49
37.2,0,23.17,6/9/2022,5.573333333
36.5,0,20.2,6/10/2022,4.898333333
36.9,0,19.38,6/11/2022,4.788333333
37,0,22.06,6/12/2022,4.92
37.1,0,22,6/13/2022,5.01125
37.7,0,23.16,6/14/2022,5.072083333
38.1,0,22.5,6/15/2022,5.112916667
35.7,3.5,20.13,6/16/2022,3.92625
30.2,6,12.96,6/17/2022,1.69
27.2,3,14.86,6/18/2022,0.9275
27.2,0.8,17.97,6/19/2022,1.073333333
28.4,0.2,19.65,6/20/2022,1.470833333
24.7,16,10.31,6/21/2022,0.650416667
26.7,7.1,22.49,6/22/2022,1.1625
28.8,0,23.66,6/23/2022,1.808333333
30.5,0,23.82,6/24/2022,2.344166667
31.7,0,23.79,6/25/2022,2.830416667
33,0,22.69,6/26/2022,2.972916667
34.2,0,21.78,6/27/2022,2.701666667
35.8,0,22.32,6/28/2022,3.266666667
36.4,0,23.02,6/29/2022,3.472083333
32.9,5,17.93,6/30/2022,1.984166667
28.3,26.8,11.71,7/1/2022,0.872083333
31.3,1,20.76,7/2/2022,1.675833333
31.2,1.4,18.27,7/3/2022,1.38875
32.5,0.5,20.42,7/4/2022,1.767916667
34,2.5,20.22,7/5/2022,2.146666667
31.9,12,18.28,7/6/2022,1.43875
32.7,0.5,19.87,7/7/2022,1.674583333
33,0.8,18.37,7/8/2022,1.731666667
31.6,15,18.54,7/9/2022,1.345416667
30,0.8,16.55,7/10/2022,1.148333333
31.4,0,18.94,7/11/2022,1.468333333
32.2,0.1,20.4,7/12/2022,1.67
31.5,5.4,20.43,7/13/2022,1.395833333
29.4,3.4,11.27,7/14/2022,0.909583333
27.9,15.1,10.95,7/15/2022,0.712083333
30.7,0,20.44,7/16/2022,1.59875
29.6,4.9,18.51,7/17/2022,1.080416667
31.6,0,22.15,7/18/2022,1.702916667
33.1,0.6,20.39,7/19/2022,1.92375
30.5,24.1,16.94,7/20/2022,1.077916667
27.9,42.7,12.01,7/21/2022,0.581666667
28.4,17.8,16.12,7/22/2022,0.705833333
28.5,6.2,15.59,7/23/2022,0.659166667
29.8,3.8,19.62,7/24/2022,0.927083333
29.2,5.4,16.33,7/25/2022,0.832083333
30.1,0.3,20.15,7/26/2022,1.190833333
29.7,0.8,17.07,7/27/2022,1.009583333
28,20.4,12.14,7/28/2022,0.56625
27.3,13.8,10.74,7/29/2022,0.49
27.6,3.2,13.54,7/30/2022,0.546666667
27.2,11.8,11.98,7/31/2022,0.48375
27.5,18.8,12.23,8/1/2022,0.61625
29.5,1.4,20.31,8/2/2022,0.948333333
29.7,0.2,21.49,8/3/2022,0.98125
30,11,19.62,8/4/2022,0.949166667
28.4,2.3,14.17,8/5/2022,0.601666667
29.1,2.5,18.93,8/6/2022,0.75125
29.5,0.8,18.66,8/7/2022,0.861666667
30,0.1,20.72,8/8/2022,1.139583333
31,0,18.97,8/9/2022,1.24125
31.8,0,22.08,8/10/2022,1.512083333
29.8,9.3,17.57,8/11/2022,1.117083333
30.5,0,22.43,8/12/2022,1.742916667
31.3,0,22.38,8/13/2022,1.6225
31,1,20.07,8/14/2022,1.251666667
28.6,14.2,14.76,8/15/2022,0.839166667
29.6,0.2,17.62,8/16/2022,1.2975
29.3,3.6,14.12,8/17/2022,1.141666667
29.9,0.9,20.29,8/18/2022,1.1925
30.4,0,21.9,8/19/2022,1.48
30.2,0.3,20.67,8/20/2022,1.599166667
30.2,0.2,21.15,8/21/2022,1.396666667
31.2,0,21.32,8/22/2022,1.670416667
31.9,0.2,20.62,8/23/2022,1.775
30.7,0.7,19.79,8/24/2022,1.554166667
30.2,0.2,20.34,8/25/2022,1.607916667
29.8,3.2,18.08,8/26/2022,1.4125
29.7,5.3,16.69,8/27/2022,1.31375
30.3,1.5,17.9,8/28/2022,1.612083333
29.2,2.9,16.76,8/29/2022,1.1775
30.1,0.9,19.28,8/30/2022,1.35875
31.5,0,20.85,8/31/2022,2
32,0,20.86,9/1/2022,2.2225
32.4,0,20.55,9/2/2022,2.349583333
32.1,0,21.21,9/3/2022,2.399583333
31.6,0,19.62,9/4/2022,2.129583333
28.7,6.5,14.99,9/5/2022,1.23875
28.1,4.6,18.55,9/6/2022,0.935
29.8,0,20.24,9/7/2022,1.498333333
30.8,0,20.21,9/8/2022,1.792083333
30.9,0,20.04,9/9/2022,1.684166667
30.9,0,19.55,9/10/2022,1.58
29.7,0,19.44,9/11/2022,1.344583333
29.6,0,20.24,9/12/2022,1.449166667
30.3,0,19.09,9/13/2022,1.629166667
30.5,0,19.63,9/14/2022,1.670416667
30.4,0,19.09,9/15/2022,1.586666667
29.8,2.4,19.53,9/16/2022,1.488333333
30.3,0,19.8,9/17/2022,1.71625
30.9,0,19.42,9/18/2022,2.109583333
30.9,0,19.88,9/19/2022,2.184583333
30.3,0,18.1,9/20/2022,1.933333333
28.7,1.1,17.14,9/21/2022,1.205833333
28.7,0.1,17.89,9/22/2022,1.125
28.1,0.2,15.16,9/23/2022,1.11375
24.9,23.6,5.41,9/24/2022,0.530833333
26.3,0,16.9,9/25/2022,0.88
26.3,0.4,16.16,9/26/2022,0.834583333
27.1,0,17.3,9/27/2022,0.914583333
27.4,0,17.99,9/28/2022,1.115416667
27.9,0,18.53,9/29/2022,1.32125
28.5,0,18.32,9/30/2022,1.57125
28.4,0,18.22,10/1/2022,1.715416667
28.2,0,18.19,10/2/2022,1.765416667
28.1,0,18.01,10/3/2022,1.864166667
28.3,0,18.26,10/4/2022,2.005
28.2,0,18.24,10/5/2022,2.124583333
27.1,0,17.98,10/6/2022,1.795416667
26.6,0,17.11,10/7/2022,1.235
26.1,0,16.92,10/8/2022,1.06625
25.7,0.3,16.47,10/9/2022,0.96875
24.4,1.5,13.64,10/10/2022,0.709166667
24,0.9,15.97,10/11/2022,0.734166667
24.1,0,16.63,10/12/2022,1.030416667
25.7,0,16.59,10/13/2022,1.60375
25.6,0,16.61,10/14/2022,1.63625
24.9,0,16.72,10/15/2022,1.61875
24.6,0,16.51,10/16/2022,1.550416667
24.7,0,16.39,10/17/2022,1.655833333
24.4,0,16.29,10/18/2022,1.634166667
23.9,0,15.98,10/19/2022,1.390833333
23.5,0,15.54,10/20/2022,1.237916667
21.8,0,15.43,10/21/2022,1.058333333
22.4,0,15.76,10/22/2022,1.44
23.4,0,15.62,10/23/2022,1.619166667
23,0,15.54,10/24/2022,1.609166667
23.5,0,15.24,10/25/2022,1.605416667
22.7,0,15.03,10/26/2022,1.257916667
22.8,0,14.8,10/27/2022,1.224583333
23.1,0,14.8,10/28/2022,1.248333333
23.5,0,14.69,10/29/2022,1.48375
22.6,0,14.45,10/30/2022,1.19875
23,0,14.11,10/31/2022,1.232916667
23,0,13.74,11/1/2022,1.140833333
22.6,0,13.74,11/2/2022,1.182916667
23,0,13.23,11/3/2022,1.165416667
23,0,13.18,11/4/2022,0.94875
22.1,5,12.37,11/5/2022,0.76125
21.1,0,11.25,11/6/2022,0.681666667
19.9,0,12.04,11/7/2022,0.581666667
19.4,1.2,12.4,11/8/2022,0.4475
18.8,5.5,8.25,11/9/2022,0.404583333
18.9,1,12.65,11/10/2022,0.70375
18.8,0,12.66,11/11/2022,0.754166667
18.9,0,12.67,11/12/2022,0.811666667
19,0,11.7,11/13/2022,0.788333333
18.7,3.3,9.72,11/14/2022,0.696666667
17.1,0,12.12,11/15/2022,0.514583333
17.4,0,12.06,11/16/2022,0.655
16.8,0,12.49,11/17/2022,0.754583333
16.7,0,12.23,11/18/2022,0.737916667
16.2,0,11.93,11/19/2022,0.6425
16.5,0,12.04,11/20/2022,0.735416667
16.3,0,12.23,11/21/2022,0.73625
16.3,0,12.29,11/22/2022,0.777083333
15.8,0,12.26,11/23/2022,0.741666667
17.7,0,12.03,11/24/2022,0.942916667
17.4,0,12,11/25/2022,0.978333333
16.7,0,12,11/26/2022,0.7725
17.2,0,11.98,11/27/2022,0.849166667
17.3,0,11.7,11/28/2022,0.837083333
16.8,0,11.64,11/29/2022,0.699583333
16.6,0,11.44,11/30/2022,0.587916667
16.6,0,11.46,12/1/2022,0.689166667
17.2,0,9.34,12/2/2022,0.68625
15.8,0,11.29,12/3/2022,0.595416667
15.4,0,11.3,12/4/2022,0.621666667
15.4,0,11.24,12/5/2022,0.61
15.6,0,11.21,12/6/2022,0.677083333
15.6,0,11.3,12/7/2022,0.742083333
15.8,0,10.52,12/8/2022,0.554166667
16,0,10.77,12/9/2022,0.679166667
16.9,0,10.14,12/10/2022,0.839166667
16.9,0,10.92,12/11/2022,0.934583333
15.6,0,11.1,12/12/2022,0.873333333
16.2,0,11.1,12/13/2022,0.995416667
14.7,0,11.38,12/14/2022,0.86125
14.5,0,11.35,12/15/2022,0.8775
14.2,0,11.27,12/16/2022,0.722916667
15.5,0,11.18,12/17/2022,0.69375
15.2,0,11.08,12/18/2022,0.559166667
15.3,0,11.07,12/19/2022,0.628333333
14.7,0,10.75,12/20/2022,0.58125
13.4,0,11.16,12/21/2022,0.482083333
12.3,0,11.06,12/22/2022,0.342916667
10.3,0,9.64,12/23/2022,0.18125
9.9,0,8.56,12/24/2022,0.187083333
10.3,0,8.76,12/25/2022,0.220833333
10.5,0,11.08,12/26/2022,0.2875
10.8,0,9.33,12/27/2022,0.245833333
12.8,0,11.15,12/28/2022,0.450416667
12.3,3.9,3.57,12/29/2022,0.210416667
12.9,0,10.9,12/30/2022,0.290416667
11.8,0,11.31,12/31/2022,0.33875
11.7,0,6.73,1/1/2023,0.36
10.1,0,10.93,1/2/2023,0.279583333
9.3,0,10.17,1/3/2023,0.255833333
10,0,11.46,1/4/2023,0.275833333
7.1,0,9.98,1/5/2023,0.135833333
7.6,0,6.43,1/6/2023,0.094583333
9.1,0.1,7.63,1/7/2023,0.144583333
9.9,0,8.13,1/8/2023,0.15875
10.5,0,8.6,1/9/2023,0.165
10.9,0,9.42,1/10/2023,0.152083333
11.2,2.7,5.64,1/11/2023,0.119166667
12.2,0.1,11.69,1/12/2023,0.235416667
10.9,0,11.55,1/13/2023,0.311666667
8.9,0,10.65,1/14/2023,0.297916667
8.5,0,12.83,1/15/2023,0.582916667
8.4,0,12.97,1/16/2023,0.485416667
8.9,0,12.98,1/17/2023,0.57125
9.9,0,9.91,1/18/2023,0.5825
13.2,0,11.35,1/19/2023,0.69125
11.2,2.1,4.82,1/20/2023,0.266666667
10.9,0,12.6,1/21/2023,0.349166667
12.3,0,12.55,1/22/2023,0.489583333
13.7,0,11.2,1/23/2023,0.612916667
13,0,11.82,1/24/2023,0.595833333
12.4,0,12.58,1/25/2023,0.489583333
10.3,0,12.32,1/26/2023,0.395833333
10.8,0,14.12,1/27/2023,0.645833333
11.9,0,13.54,1/28/2023,0.68875
12.4,10.2,12.15,1/29/2023,0.453333333
14,0.9,8.49,1/30/2023,0.267916667
12,0,11.48,1/31/2023,0.270833333
13.3,0,14.21,2/1/2023,0.642916667
14.7,0,13.77,2/2/2023,0.874583333
15.6,0,14.11,2/3/2023,0.865416667
16.1,0,14.42,2/4/2023,0.812083333
15.6,0,14.76,2/5/2023,0.815
17.1,0,14.5,2/6/2023,0.821666667
15.9,0,15.08,2/7/2023,0.905416667
16.2,0,13.42,2/8/2023,1.048333333
15.7,0.3,10.49,2/9/2023,0.768333333
17.7,0,15.2,2/10/2023,1.054583333
15.3,0,15.62,2/11/2023,0.897916667
13.3,0,16.09,2/12/2023,1.102916667
14.3,0,16.02,2/13/2023,1.274583333
16.6,0,15.32,2/14/2023,1.190833333
18.3,0,15.98,2/15/2023,1.317083333
19.4,0,15.39,2/16/2023,1.184583333
20,0,16.15,2/17/2023,1.077916667
20.2,0,16.59,2/18/2023,0.98
19.7,0,15.6,2/19/2023,0.905833333
21.1,0,14.38,2/20/2023,0.927083333
19.8,0,16.74,2/21/2023,1.084583333
19.4,0,14.21,2/22/2023,1.215416667
19,0,17.61,2/23/2023,1.243333333
19.7,0,17.42,2/24/2023,1.357083333
20.3,0,17.4,2/25/2023,1.131666667
20.1,0.1,15.42,2/26/2023,1.061666667
20,0,17.23,2/27/2023,1.15
17.5,8.2,8.58,2/28/2023,0.504166667
18.8,2.6,15.48,3/1/2023,0.624583333
19.1,4.8,14.88,3/2/2023,0.662916667
19.4,0,17.54,3/3/2023,0.905
20.2,0,17.51,3/4/2023,0.969166667
20.8,0,16.89,3/5/2023,1.181666667
20.5,0,18.52,3/6/2023,1.28375
20.2,0,18.27,3/7/2023,1.244166667
20.4,0,18.57,3/8/2023,1.140833333
20.7,0,19.27,3/9/2023,1.252083333
21.7,0,19.49,3/10/2023,1.365416667
22.4,0,19.42,3/11/2023,1.382916667
22.8,0,18.86,3/12/2023,1.3325
22.7,1.1,18.25,3/13/2023,1.097083333
22.9,0,19.81,3/14/2023,1.240833333
23,0,19.37,3/15/2023,1.325833333
22.8,0.1,18.62,3/16/2023,1.335416667
19.7,1.4,13.21,3/17/2023,0.6875
18.8,0.3,18.26,3/18/2023,0.521666667
18.8,0.4,18.62,3/19/2023,0.575833333
19.7,0.6,18.67,3/20/2023,0.60125
18.9,0,19.07,3/21/2023,0.58
19.9,0.7,16.15,3/22/2023,0.815
20.1,2.5,18.5,3/23/2023,0.815416667
18.3,27.4,11.59,3/24/2023,0.370833333
18.1,8.8,17.68,3/25/2023,0.4425
18.2,0,20.38,3/26/2023,0.665833333
20.1,0,20.65,3/27/2023,0.967916667
22,0,19.61,3/28/2023,1.291666667
21.5,0.3,18.67,3/29/2023,1.1525
21,6.5,17.23,3/30/2023,0.690833333
18.6,16.4,14.11,3/31/2023,0.340416667
18.3,2.8,15.48,4/1/2023,0.34875
19.6,0,20.41,4/2/2023,0.581666667
20,10.2,15.6,4/3/2023,0.615
20,2.5,21.18,4/4/2023,0.66875
20.4,0.6,19.68,4/5/2023,0.959583333
20.9,0,22.54,4/6/2023,1.029583333
21.7,0,23.58,4/7/2023,1.355416667
23,0,23.76,4/8/2023,1.744166667
24,0,23.01,4/9/2023,1.919583333
25.2,0,22.73,4/10/2023,2.116666667
26.1,0.1,22.18,4/11/2023,2.197916667
27.1,0,23.36,4/12/2023,2.347083333
27.5,0,23.8,4/13/2023,2.5725
28.3,0,23.57,4/14/2023,2.690833333
28.2,0,23.03,4/15/2023,2.836666667
28.2,0.1,20.92,4/16/2023,2.597916667
28.4,0,22.3,4/17/2023,2.4625
28,0,19.68,4/18/2023,2.260833333
23.9,14,17.14,4/19/2023,0.917916667
23.4,1.1,19.87,4/20/2023,1.220833333
23.2,0.2,21.01,4/21/2023,1.415833333
23.2,0,21.83,4/22/2023,1.77125
23.6,0,24.39,4/23/2023,1.951666667
25.8,0,24.13,4/24/2023,2.302916667
26.5,0,23.99,4/25/2023,2.47625
27.5,0.1,21.59,4/26/2023,2.620416667
27.5,0,20.22,4/27/2023,2.47125
26.5,1.8,19.77,4/28/2023,2.072083333
26.1,0.2,17.43,4/29/2023,1.951666667
25.2,0.3,19.52,4/30/2023,1.619166667
23.3,4.4,18.1,5/1/2023,1.0025
22.5,0.1,17.29,5/2/2023,0.830416667
23.4,0.6,21.88,5/3/2023,1.044166667
25.4,0,21.47,5/4/2023,1.57
26.3,0.3,20.65,5/5/2023,1.81375
27.7,0.4,20.67,5/6/2023,2.29375
27.6,0,24.22,5/7/2023,2.4525
26.8,0,23.4,5/8/2023,2.545416667
26.9,0,24.4,5/9/2023,2.515416667
28,0,25.05,5/10/2023,2.941666667
29.8,0,24.76,5/11/2023,3.217083333
30.5,0,24.32,5/12/2023,3.364166667
31.5,0,23.35,5/13/2023,3.567083333
31.6,0,23.07,5/14/2023,3.656666667
30.9,0,23.72,5/15/2023,3.43375
31.3,0,23.14,5/16/2023,3.448333333
31.8,0,20.54,5/17/2023,3.520833333
28.8,0,23.46,5/18/2023,2.393333333
30.3,0,23.92,5/19/2023,2.845
32,0,23.74,5/20/2023,3.51
33.6,0,22.71,5/21/2023,3.995
33,0,20.22,5/22/2023,3.547916667
33.2,0.4,19.64,5/23/2023,3.445416667
28.3,15,18.33,5/24/2023,1.694583333
27.4,0,20.21,5/25/2023,1.519166667
26.2,4.4,18.49,5/26/2023,1.256666667
27.2,0,22.31,5/27/2023,1.519583333
27.9,0,20.28,5/28/2023,1.835416667
26.1,6.6,12.71,5/29/2023,1.1
26.8,0.2,22.23,5/30/2023,1.619583333
24,6.9,13.05,5/31/2023,0.784583333
22.3,25.4,15.63,6/1/2023,0.467083333
23.9,0.2,22.55,6/2/2023,0.982916667
26.9,0,23.55,6/3/2023,1.616666667
28.7,0,22.33,6/4/2023,2
29.2,0,21.07,6/5/2023,2.300416667
29.1,0,20.02,6/6/2023,2.10125
28.8,0,22.85,6/7/2023,1.815833333
29.7,0.4,21.13,6/8/2023,2.074583333
31.3,0.1,21.25,6/9/2023,2.549166667
32.3,0.3,19.99,6/10/2023,2.585833333
31.1,0,21.38,6/11/2023,1.99875
32.9,0.3,21.48,6/12/2023,2.38625
33.5,0.2,21.43,6/13/2023,2.659166667
32.9,0,20.51,6/14/2023,2.565416667
29.6,7.9,12.86,6/15/2023,1.568333333
30.5,1.5,20.6,6/16/2023,1.70625
32,0,21.42,6/17/2023,2.1375
32,0.1,21.21,6/18/2023,1.992083333
32.6,0,22.65,6/19/2023,2.12875
33.7,0,22.77,6/20/2023,2.53125
34.4,0,21.55,6/21/2023,2.685
35.9,0,21.83,6/22/2023,3.315
36.7,0,22.12,6/23/2023,3.650416667
36.1,0,22.56,6/24/2023,3.565416667
33.8,0.5,21.74,6/25/2023,2.600416667
28.6,3,17.12,6/26/2023,0.954166667
30.6,0,19.6,6/27/2023,1.577083333
31.2,0,21.61,6/28/2023,1.621666667
31.1,4.1,20.13,6/29/2023,1.43875
31.3,0,18.73,6/30/2023,1.554166667
31.5,0,22.74,7/1/2023,1.749166667
31.9,0.6,21.61,7/2/2023,1.800833333
33.9,0,21.64,7/3/2023,2.274583333
33.5,0.4,21.44,7/4/2023,2.143333333
29,28.2,14.86,7/5/2023,0.834583333
28.9,6.4,19.09,7/6/2023,1.022916667
29.4,2.3,20.52,7/7/2023,0.997916667
26.6,13.2,7.07,7/8/2023,0.382916667
27.7,2.8,13.62,7/9/2023,0.753333333
28.6,0,18.76,7/10/2023,0.903333333
29.7,0,22.63,7/11/2023,1.200416667
31.4,0,22.2,7/12/2023,1.570833333
30.8,0,22.13,7/13/2023,1.311666667
30.4,1,21.19,7/14/2023,1.158333333
31.4,0.2,20.37,7/15/2023,1.334583333
30.1,3.4,19.09,7/16/2023,1.01875
30.9,0.2,20.97,7/17/2023,1.160416667
31,0.5,18.86,7/18/2023,1.054583333
30.6,0.3,18.14,7/19/2023,1.115416667
30.9,0.4,18.6,7/20/2023,1.083333333
30.9,2.7,18.73,7/21/2023,1.069583333
28.7,28.7,10.24,7/22/2023,0.602083333
30.4,2.7,20.11,7/23/2023,1.142916667
30.6,6.2,20.01,7/24/2023,1.05375
30.4,2.8,15,7/25/2023,0.93
29.1,23,19.22,7/26/2023,0.792083333
28.4,19.8,14.6,7/27/2023,0.642083333
28.7,4.1,20.92,7/28/2023,0.77375
27.7,21.5,19.71,7/29/2023,0.569583333
29.6,0,21.43,7/30/2023,1.0425
30.8,0.7,21.14,7/31/2023,1.200833333
31.4,0.2,21.75,8/1/2023,1.340416667
31.3,3.4,21.15,8/2/2023,1.263333333
30.9,10.5,22.02,8/3/2023,1.209166667
31.6,1.5,21.46,8/4/2023,1.41
31.4,15.2,21.23,8/5/2023,1.41625
30.8,5.7,20.89,8/6/2023,1.182916667
30.8,2.7,21.91,8/7/2023,1.4325
31.2,2.5,20.91,8/8/2023,1.474166667
31.9,18,21.3,8/9/2023,1.577916667
31.1,7.3,20.39,8/10/2023,1.316666667
32,0.4,21.64,8/11/2023,1.702083333
32.8,0,22.28,8/12/2023,2.246666667
33,0,21.45,8/13/2023,2.227083333
32.2,0.2,21.6,8/14/2023,1.902916667
31.1,1.6,21.47,8/15/2023,1.512083333
32.1,0.3,21.11,8/16/2023,1.842083333
33.2,0,21.51,8/17/2023,2.370833333
33.4,0.3,21.41,8/18/2023,2.278333333
32.6,0.4,19.6,8/19/2023,1.835
31.8,7.2,18.37,8/20/2023,1.482916667
34,0.1,21.34,8/21/2023,2.254166667
35.6,0.1,21.14,8/22/2023,2.932916667
34.2,0,21.81,8/23/2023,2.504166667
31.8,0,18.92,8/24/2023,1.90375
30.5,13.7,18.96,8/25/2023,1.554166667
26.9,6.6,15.5,8/26/2023,0.62
29.6,0,20.93,8/27/2023,1.285833333
